Index,Title,Rating,Views,Duration,Genre
1,1. Kraven the Hunter,5.5, (51K),N/A,Action.K
2,2. Twisters,6.5, (164K),N/A,Action.K
3,3. Gladiator II,6.5, (223K),N/A,Action.K
4,4. Sonic the Hedgehog 3,6.9, (56K),N/A,Action.K
5,5. Venom: The Last Dance,6.0, (113K),N/A,Action.K
6,6. Deadpool & Wolverine,7.6, (486K),N/A,Action.K
7,7. Dune: Part Two,8.5, (619K),N/A,Action.K
8,8. Pushpa: The Rule - Part 2,6.1, (55K),N/A,Action.K
9,9. Solo Leveling: ReAwakening,8.9, (10K),N/A,Action.K
10,10. The Ministry of Ungentlemanly Warfare,6.8, (133K),N/A,Action.K
11,11. Furiosa: A Mad Max Saga,7.5, (283K),N/A,Action.K
12,12. The Beekeeper,6.3, (154K),N/A,Action.K
13,13. Fight or Flight,6.4, (5.6K),N/A,Action.K
14,14. Civil War,7.0, (234K),N/A,Action.K
15,15. Borderlands,4.7, (47K),N/A,Action.K
16,16. Hellboy: The Crooked Man,4.5, (13K),N/A,Action.K
17,17. The Fall Guy,6.8, (218K),N/A,Action.K
18,18. Carry-On,6.5, (162K),N/A,Action.K
19,19. The Lord of the Rings: The War of the Rohirrim,6.3, (29K),N/A,Action.K
20,20. Elevation,5.6, (21K),N/A,Action.K
21,21. The Count of Monte-Cristo,7.6, (33K),N/A,Action.K
22,22. Transformers One,7.6, (49K),N/A,Action.K
23,23. William Tell,5.7, (2.1K),N/A,Action.K
24,24. The Crow,4.7, (33K),N/A,Action.K
25,25. Madame Web,4.0, (100K),N/A,Action.K
26,26. Road House,6.2, (166K),N/A,Action.K
27,27. Rebel Ridge,6.8, (87K),N/A,Action.K
28,28. Damsel,6.1, (109K),N/A,Action.K
29,29. Red One,6.3, (139K),N/A,Action.K
30,30. Argylle,5.6, (92K),N/A,Action.K
31,31. Bad Boys: Ride or Die,6.5, (99K),N/A,Action.K
32,32. Marco,6.9, (21K),N/A,Action.K
33,33. Kingdom of the Planet of the Apes,6.9, (150K),N/A,Action.K
34,34. Freaky Tales,6.7, (487),N/A,Action.K
35,35. Godzilla x Kong: The New Empire,6.1, (121K),N/A,Action.K
