Index,Title,Rating,Views,Duration,Genre
1,1. Mufasa: The Lion King,6.6, (59K),1h 58m,Adventure
2,2. Moana 2,6.6, (99K),1h 40m,Adventure
3,3. Kraven the Hunter,5.5, (52K),2h 7m,Adventure
4,4. Flow,7.9, (70K),1h 25m,Adventure
5,5. Gladiator II,6.5, (225K),2h 28m,Adventure
6,6. Twisters,6.5, (165K),2h 2m,Adventure
7,7. Sonic the Hedgehog 3,6.9, (57K),1h 50m,Adventure
8,8. Venom: The Last Dance,6.0, (115K),1h 50m,Adventure
9,9. Deadpool & Wolverine,7.6, (488K),2h 8m,Adventure
10,10. Dune: Part Two,8.5, (621K),2h 46m,Adventure
11,11. Freaky Tales,7.2, (960),1h 47m,Adventure
12,12. The Day the Earth Blew Up: A Looney Tunes Movie,7.0, (3.7K),1h 31m,Adventure
13,13. Furiosa: A Mad Max Saga,7.5, (283K),2h 28m,Adventure
14,14. Solo Leveling: ReAwakening,8.8, (11K),2h 1m,Adventure
15,15. Borderlands,4.7, (47K),1h 41m,Adventure
16,16. Paddington in Peru,6.7, (20K),1h 46m,Adventure
17,17. The Count of Monte-Cristo,7.6, (34K),2h 58m,Adventure
18,18. Despicable Me 4,6.2, (65K),1h 34m,Adventure
19,19. Transformers One,7.6, (49K),1h 44m,Adventure
20,20. The Lord of the Rings: The War of the Rohirrim,6.3, (30K),2h 14m,Adventure
21,21. Inside Out 2,7.5, (215K),1h 36m,Adventure
22,22. The Return,6.2, (8.1K),1h 56m,Adventure
23,23. Madame Web,4.0, (100K),1h 56m,Adventure
24,24. Bad Boys: Ride or Die,6.5, (99K),1h 55m,Adventure
25,25. Kingdom of the Planet of the Apes,6.9, (151K),2h 25m,Adventure
26,26. Godzilla x Kong: The New Empire,6.1, (121K),1h 55m,Adventure
27,27. Ghostbusters: Frozen Empire,6.1, (93K),1h 55m,Adventure
28,28. Damsel,6.1, (109K),1h 50m,Adventure
29,29. Red One,6.3, (139K),2h 3m,Adventure
30,30. Love Lies Bleeding,6.6, (56K),1h 44m,Adventure
31,31. Spaceman,5.7, (43K),1h 47m,Adventure
32,32. Uglies,4.7, (33K),1h 40m,Adventure
33,33. Kung Fu Panda 4,6.3, (68K),1h 34m,Adventure
34,34. Attack on Titan the Movie: The Last Attack,9.2, (15K),2h 25m,Adventure
35,35. Survive,4.6, (2.4K),1h 30m,Adventure
36,36. The Garfield Movie,5.7, (24K),1h 41m,Adventure
37,37. Spellbound,5.6, (7.2K),1h 49m,Adventure
38,38. Harold and the Purple Crayon,5.7, (8.2K),1h 30m,Adventure
39,39. Wallace & Gromit: Vengeance Most Fowl,7.5, (34K),1h 22m,Adventure
40,40. Night of the Zoopocalypse,6.1, (537),1h 31m,Adventure
41,41. Atlas,5.6, (56K),1h 58m,Adventure
42,42. Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m,Adventure
43,43. Descendants: The Rise of Red,4.7, (7K),1h 31m,Adventure
44,44. Kalki 2898 AD,7.0, (66K),3h,Adventure
45,45. Arthur the King,7.0, (34K),1h 47m,Adventure
46,46. The Unholy Trinity,7.9, (49),1h 33m,Adventure
47,47. Monster Summer,5.7, (3.6K),1h 37m,Adventure
48,48. My Penguin Friend,6.7, (5K),1h 37m,Adventure
49,49. Winner,6.5, (2.4K),1h 43m,Adventure
50,50. Hitpig,5.1, (912),1h 26m,Adventure
51,51. Thelma the Unicorn,5.7, (2.9K),1h 33m,Adventure
52,52. No Way Up,4.6, (10K),1h 30m,Adventure
53,53. Megamind vs. The Doom Syndicate,2.5, (5.5K),1h 23m,Adventure
54,54. The Goat Life,7.1, (47K),2h 53m,Adventure
55,55. Family Pack,5.5, (8.9K),1h 34m,Adventure
56,56. River of Blood,5.3, (1.7K),1h 26m,Adventure
57,57. The Best Christmas Pageant Ever,6.8, (6.1K),1h 39m,Adventure
