Index,Title,Rating,Views,Duration,Genre
1,1. Trap,5.8, (136K),1h 45m,Crime
2,2. Pushpa: The Rule - Part 2,6.1, (56K),3h 21m,Crime
3,3. Longlegs,6.6, (184K),1h 41m,Crime
4,4. Freaky Tales,7.2, (960),1h 47m,Crime
5,5. Juror #2,7.0, (96K),1h 54m,Crime
6,6. The Beekeeper,6.3, (155K),1h 45m,Crime
7,7. Carry-On,6.5, (163K),1h 59m,Crime
8,8. Riff Raff,5.7, (2.8K),1h 43m,Crime
9,9. The Order,6.8, (40K),1h 56m,Crime
10,10. Emilia Pérez,5.4, (87K),2h 12m,Crime
11,11. MaXXXine,6.2, (69K),1h 43m,Crime
12,12. Despicable Me 4,6.2, (65K),1h 34m,Crime
13,13. Wolfs,6.5, (81K),1h 48m,Crime
14,14. The Crow,4.7, (34K),1h 51m,Crime
15,15. Rebel Ridge,6.8, (87K),2h 11m,Crime
16,16. Lucky Baskhar,8.0, (31K),2h 28m,Crime
17,17. Bad Boys: Ride or Die,6.5, (99K),1h 55m,Crime
18,18. Marco,6.8, (21K),2h 25m,Crime
19,19. Love Lies Bleeding,6.6, (56K),1h 44m,Crime
20,20. The Girl with the Needle,7.5, (13K),2h 3m,Crime
21,21. Monkey Man,6.8, (91K),2h 1m,Crime
22,22. The Seed of the Sacred Fig,7.6, (13K),2h 47m,Crime
23,23. Santosh,7.0, (1.8K),2h 8m,Crime
24,24. Toofan,7.4, (7.6K),2h 25m,Crime
25,25. Misericordia,6.9, (1.9K),1h 44m,Crime
26,26. Sleeping Dogs,6.2, (21K),1h 50m,Crime
27,27. Lift,5.5, (49K),1h 47m,Crime
28,28. Beverly Hills Cop: Axel F,6.4, (81K),1h 58m,Crime
29,29. Maharaja,8.4, (66K),2h 21m,Crime
30,30. The Instigators,6.2, (37K),1h 41m,Crime
31,31. Beating Hearts,7.0, (4.5K),2h 46m,Crime
32,32. Twilight of the Warriors: Walled In,7.0, (9.3K),2h 6m,Crime
33,33. Greedy People,6.2, (11K),1h 52m,Crime
34,34. Absolution,5.2, (7.8K),1h 52m,Crime
35,35. Killer Heat,5.6, (13K),1h 35m,Crime
36,36. Long Gone Heroes,5.2, (1K),1h 41m,Crime
37,37. Brothers,5.4, (13K),1h 29m,Crime
38,38. The Unholy Trinity,7.9, (49),1h 33m,Crime
39,39. Force of Nature: The Dry 2,5.8, (7K),2h,Crime
40,40. Trigger Warning,4.6, (19K),1h 46m,Crime
41,41. Armor,3.6, (3.8K),1h 29m,Crime
42,42. The Shadow Strays,6.5, (9.1K),2h 24m,Crime
43,43. The Silent Hour,6.1, (7.3K),1h 39m,Crime
44,44. Duchess,4.6, (1.3K),1h 54m,Crime
45,45. Do Patti,6.4, (69K),2h 6m,Crime
46,46. Boneyard,4.1, (5K),1h 36m,Crime
47,47. Hitpig,5.1, (912),1h 26m,Crime
48,48. Harbin,6.3, (579),1h 48m,Crime
49,49. Mea Culpa,4.2, (7K),2h,Crime
