Index,Title,Rating,Views,Duration,Genre
1,1. Kraven the Hunter,5.4, (48K),2h 7m,Action.K
2,2. Twisters,6.5, (162K),2h 2m,Action.K
3,3. Gladiator II,6.5, (220K),2h 28m,Action.K
4,4. Sonic the Hedgehog 3,6.9, (54K),1h 50m,Action.K
5,5. Pushpa: The Rule - Part 2,6.1, (55K),3h 21m,Action.K
6,6. Venom: The Last Dance,6.0, (110K),1h 50m,Action.K
7,7. Dune: Part Two,8.5, (616K),2h 46m,Action.K
8,8. The Ministry of Ungentlemanly Warfare,6.8, (132K),2h 2m,Action.K
9,9. Deadpool & Wolverine,7.6, (483K),2h 8m,Action.K
10,10. Furiosa: A Mad Max Saga,7.5, (281K),2h 28m,Action.K
11,11. The Lord of the Rings: The War of the Rohirrim,6.3, (29K),2h 14m,Action.K
12,12. Borderlands,4.7, (46K),1h 41m,Action.K
13,13. Civil War,7.0, (233K),1h 49m,Action.K
14,14. Elevation,5.6, (20K),1h 31m,Action.K
15,15. The Beekeeper,6.3, (153K),1h 45m,Action.K
16,16. Solo Leveling: ReAwakening,8.8, (9.1K),2h 1m,Action.K
17,17. Carry-On,6.5, (161K),1h 59m,Action.K
18,18. The Count of Monte-Cristo,7.6, (33K),2h 58m,Action.K
19,19. The Fall Guy,6.8, (217K),2h 6m,Action.K
20,20. William Tell,5.8, (1.9K),2h 13m,Action.K
21,21. Hellboy: The Crooked Man,4.5, (13K),1h 39m,Action.K
22,22. Rebel Ridge,6.8, (86K),2h 11m,Action.K
23,23. Damsel,6.1, (108K),1h 50m,Action.K
24,24. Marco,6.9, (20K),2h 25m,Action.K
25,25. Homestead,5.4, (3.4K),1h 52m,Action.K
26,26. The Crow,4.7, (33K),1h 51m,Action.K
27,27. Road House,6.2, (166K),2h 1m,Action.K
28,28. Transformers One,7.6, (48K),1h 44m,Action.K
29,29. Red One,6.3, (138K),2h 3m,Action.K
30,30. Argylle,5.6, (92K),2h 19m,Action.K
31,31. Kingdom of the Planet of the Apes,6.9, (150K),2h 25m,Action.K
32,32. The Killer's Game,5.8, (16K),1h 44m,Action.K
33,33. Freaky Tales,6.5, (382),1h 46m,Action.K
34,34. Madame Web,4.0, (100K),1h 56m,Action.K
